Titles,Keywords,Abstract,tipo,tema
Stochastic confinement of Rossby waves by fluctuating eastward flows,"Rossby Wave
Planetary Wave
Critical Line
Background Wind
Background Flow",The effect of stochastic fluctuations in the background zonal velocity field on the energy dispersion of stationary wave responses to meridionally localised forcing is considered using the non-divergent barotropic vorticity equation. It is found that for small noise levels or large lengthscales in the noise autocovariance function the oscillatory structure of the solutions is not altered. However for noise levels (or autocovariance lengthscales) comparable to or larger (smaller) than those observed in the circulation at 300mb the marginal density functions of the solution process displays a pronounced attenuation away from the stationary wave source. This indicates that fluctuations in the velocity field inhibit the dispersion of wave energy. The symmetry of the marginal PDFs about the source rather than about the equator indicates that the localisation is primarily an integrated effect of backscattering by potential vorticity gradients in regions of real refractive index and not due to attenuation by regions of imaginary refractive index or by critical lines in the flow.,1,Ciencias exactas
Horizontal Energy propagation in a Barotropic Atmosphere with Meridional and Zonal Structure,"inter-hemispheric transmission
energy
horizontal structure
reflective surfaces
two-dimensional wind","To investigate how the propagation of energy away from steady sources may be influenced by the horizontal structure of the time-averaged flow in the troposphere solutions to a barotropic model are displayed and interpreted. The model is steady and linearized about a basic state which varies in latitude and longitude. Emphasis is placed on cases where the longitudinal variations are gradual.

Many of the results can be analyzed by locally applying tools developed for zonally symmetric basic states e.g. ray tracing and refractive indices. Simple background flows are constructed which have longitudinally confined critical lines reflective surfaces wave guides and regions conducive to propagation. An example is given in which longitudinal derivatives of the basic state are significant. The theory of ray tracing in a two-dimensional wind must be employed as an interpretive tool in this case. It is concluded that zonal variations tend to enhance poleward (equatorward) propagation in large-scale troughs (ridges).

Examples are also shown of propagation through observed January 300 mb mean flow. These experiments suggest that the southern flank of the Asiatic jet may act as a partial reflector increasing the likelihood of resonance in the midlatitudes. The central tropical Pacific appears to have potential as a corridor for inter-hemispheric transmission though during typical January conditions wavetrains emanating from the mid-latitudes are absorbed there.",0,Ciencias exactas
Do Rossby-wave critical layers absorb reflect or over-reflect?,"hydrodynamically
two-dimensional 
asymptotic expansions","The Stewartson–Warn–Warn (SWW) solution for the time evolution of an inviscid nonlinear Rossby-wave critical layer which predicts that the critical layer will alternate between absorbing and over-reflecting states as time goes on is shown to be hydrodynamically unstable. The instability is a two-dimensional shear instability owing its existence to a local reversal of the cross-stream absolute vorticity gradient within the long thin Kelvin cat's eyes of the SWW streamline pattern. The unstable condition first develops while the critical layer is still an absorber well before the first over-reflecting stage is reached. The exponentially growing modes have a two-scale cross-stream structure like that of the basic SWW solution. They are found analytically using the method of matched asymptotic expansions enabling the problem to be reduced to a transcendental equation for the complex eigenvalue. Growth rates are of the order of the inner vorticity scale δq i.e. the initial absolute vorticity gradient dq0/dy times the critical-layer width scale. This is much faster than the time evolution of the SWW solution itself albeit much slower than the shear rate du0/dy of the basic flow. Nonlinear saturation of the growing instability is expected to take place in a central region of width comparable to the width of the SWW cat's-eye pattern probably leading to chaotic motion there with very large ‘eddy-viscosity’ values. Those values correspond to critical-layer Reynolds numbers δ−1 [Lt ] 1 suggesting that for most initial conditions the time evolution of the critical layer will depart drastically from that predicted by the SWW solution. A companion paper (Haynes 1985) establishes that the instability can indeed grow to large enough amplitudes for this to happen.

The simplest way in which the instability could affect the time evolution of the critical layer would be to prevent or reduce the oscillations between over-reflecting and absorbing states which according to the SWW solution follow the first onset of perfect reflection. The possibility that absorption (or over-reflection) might be prolonged indefinitely is ruled out in many cases of interest (even if the ‘eddy viscosity’ is large) by the existence of a rigorous general upper bound on the magnitude of the time-integrated absorptivity α(t). The bound is uniformly valid for all time t. The absorptivity α(t) is defined as the integral over all past t of the jump in the wave-induced Reynolds stress across the critical layer. In typical cases the bound implies that no matter how large t may become |α(t)| cannot greatly exceed the rate of absorption predicted by linear theory multiplied by the timescale on which linear theory breaks down say the time for the cat's-eye flow to twist up the absolute vorticity contours by about half a turn. An alternative statement is that |α(t)| cannot greatly exceed the initial absolute vorticity gradient dq0/dy times the cube of the widthscale of the critical layer. In typical cases therefore a brief answer to the question posed in the title is that the critical layer absorbs at first at a rate ∞ dq0/dy whereas after linear theory breaks down the critical layer becomes a perfect reflector in the long-time average. If absolute vorticity gradients vanish throughout the critical layer then the bound is zero implying perfect reflection for all t.

The general conditions for the bound to apply are that the wave amplitude and critical-layer width are uniformly bounded for all t the motion is two-dimensional and vorticity is neither created nor destroyed within the critical layer nor transported into or out of it by diffusion by advection or by other means. Vorticity may however be diffused or turbulently transported within the critical layer provided that the region within which the transport acts is of bounded width and the range of values of vorticity within that region remains bounded. There are no other restrictions on wave amplitude none on wavelength and no assumptions about flow details within the critical layer nor about the initial vorticity profile qo(y) apart from an assumption that q0(y) has singularities no worse than a finite number of jump discontinuities. The proof in its most general form makes use of anew finite-amplitude conservation theorem for disturbances to parallel shear flows generalizing the classical results of Taylor Eliassen & Palm and others.",0,Ciencias exactas
The Global Atmospheric Response to Low-Frequency Tropical Forcing: Zonally Averaged Basic States,"low-frequency
latitudes
extratropics
energy dispersion
amplitude","The extratropical response to localized low-frequency tropical forcing is examined using a linearized non-divergent barotropic model on a sphere. Zonal-mean basic states characterized by solid-body rotation or critical latitudes are considered. An analytical analysis based on WKB and ray tracing methods shows that in contrast to stationary Rossby waves westward moving low-frequency Rossby waves can propagate through the tropical easterlies into the extratropics. It is shown analytically that the difference between the stationary and low-frequency ray paths is proportional to the forcing frequency and inversely proportional to the zonal wavenumber cubed. An expression for the disturbance amplitude is derived that shows the ability of the forced waves to maintain their strength well into middle latitudes depends on their meridional wave scale and northward group velocity both of which are functions of the slowly varying background flow.

A local energetics analysis shows that the combination of energy dispersion from the forcing region and energy extraction from the equatorward flank of the midlatitude jet produces disturbances that have the greatest impact on the extratropical circulation. Under the assumption that the forcing amplitude is independent of frequency this impact is largest when the tropical forcing period is in the range 10–20 days.",0,Ciencias exactas
Effects of Low-Frequency Tropical Forcing on Intraseasonal Tropical–Extratropical Interactions,"low-frequency
two-dimensional
energy
sensitive
oscillation","A spherical nondivergent barotropic model linearized about a 300-mb climatological January flow is used to examine the extratropical response to low-frequency tropical forcing. A two-dimensional WKB analysis shows that the energy propagation depends on the sum of three vectors: the basic state wind vector a vector that is parallel to the absolute vorticity contours and the local wave vector. The latter two vectors are functions of the slowly varying background flow and forcing frequency ω. As ω decreases the ray paths approach that of the local wave vector so that the energy propagates in a direction perpendicular to the wave fronts. The extratropical jet streams have a stronger influence on the long period (>30 day) ray paths than on those of intermediate period (∼10–30 day).

Global and local energetics calculations show that the energy conversion from the zonally varying basic flow increases as ω decreases. The local energetics show that for the long period disturbances both the energy conversion and energy redistribution due to advection and pressure work are significant along the North African–Asian jet stream. The long period disturbances are less sensitive to the location of the tropical forcing than those of intermediate period. This provides a plausible explanation for the observations showing that the long period oscillations tend to be geographically fixed at the exits of the extratropical jet streams whereas those of intermediate period are zonally mobile wave trains. The long (intermediate) timescale disturbances dominate in the Northern (Southern) Hemisphere where the zonal variations in the basic flow are more (less) pronounced.",0,Ciencias exactas
Horizontal Structure and Seasonality of Large-Scale Circulations Associated with Submonthly Tropical Convection,"atmospheric
baroclinic
large-scale atmospheric
low latitude
propagate","The relationship between deep tropical convection and large-scale atmospheric circulation in the 6–30-day period range is examined. Regression relationships between filtered outgoing longwave radiation at various locations in the Tropics and 200- and 850-mb circulation are mapped for the standard seasons and the spatial structure and seasonal dependence of the results are interpreted in view of the basic-state circulation.

In regions where the convection is embedded in upper-level easterlies anomalous equatorial easterly flow is typically present at 200 mb within and to the west of the convective signal along with patterns of meridional outflow into subtropical anticyclonic perturbations. Lagged relationships suggest that the convection is forcing the circulation in many of these cases. The outflow and subtropical circulations are strongest into the winter hemisphere during the solstitial seasons with more symmetric signals about the equator seen in the equinoctial seasons. The longitudinal positioning of the subtropical features with respect to the convection varies but is generally located due poleward or just to the east of the convection. There tends to be a first baroclinic mode vertical structure to these circulations such that equatorial westerlies are present at 850 mb within the convection with closed circulations on either side of the equator resembling equatorial Rossby modes especially common over the Atlantic and Pacific sectors.

As a contrast in regions located within upper-level westerlies or along the margin of influence of upper westerly disturbances convection appears to be forced by upper-level wave energy propagating into the deep Tropics with the heating located in the upward motion region ahead of upper-level troughs. This occurs over the Atlantic and eastern Pacific sectors during northern winter and spring and over Australia the South Pacific and South America during southern summer when upper westerlies are at relatively low latitudes where they can interact with deep tropical convection. The results confirm theoretical and modeling ideas that suggest that Rossby wave energy is able to propagate into the deep Tropics in regions where upper-level westerlies exist in the Tropics.",0,Ciencias exactas
Circulation Anomalies Associated with Tropical Convection during Northern Winter,"correlation
hemisphere
amplitude
analyses","Lagged cross correlations between outgoing longwave radiation (OLR) and National Meteorological Center global analyses are utilized to isolate the preferred upper-level and surface circulation anomalies associated with tropical convection during northern winter. Three intraseasonal time scales are studied: 30–70 14–30 and 6–14 days. In the 30–70-day band the upper-level circulation signals are zonally elongated with zonal wavenumbers 0–2 dominant. Higher-frequency signals are dominated by zonal wavenumbers 5 and 6. In the 14–30-day band convection over the eastern hemisphere is associated with upper-level anticyclones in the subtropics and appears to be linked in some cases to midlatitude wave trains. The strongest signals are for convection over Africa Australia and the eastern Indian Ocean. Only weak signals are seen for convection over Indonesia. In these regions of upper-level easterlies OLR anomalies peak prior to the maximum anomalies in wind suggesting forcing of the circulation by tropical heating.

In contrast 14–30-day and 6–14-day convection over the eastern tropical Pacific eastern South America and central South Pacific is primarily associated with the intrusion of troughs in the westerlies originating in the extratropics. These are regions of mean upper level westerly flow or where upper-westerlies lie adjacent to tropical convergence zones overlain by only weak easterly flow aloft. The large amplitude of these troughs prior to the OLR anomaly is indicative of the forcing of the convection by these disturbances.",0,Ciencias exactas
Extratropical Forcing of Tropical Pacific Convection during Northern Winter,"intertropical convergence
cold advection
poleward
midlatitude baroclinic","Statistical evidence is presented to support the notion that tropical convection in the eastern Pacific and Atlantic intertropical convergence zone (ITCZ) during northern winter can be forced by disturbances originating in the extratropics. The synoptic-scale transients in these regions are characterized at upper levels by strong positive tilts in the horizontal and appear to induce vertical motions ahead of troughs as in midlatitude baroclinic systems. Two case studies of such interactions are examined one for the eastern North Pacific ITCZ and another somewhat different type of interaction for the South Pacific convergence zone (SPCZ) over the western South Pacific.

Both cases are associated with upper-level troughs strong cold advection deep into the tropics and the formation of a frontal boundary at low levels. The ITCZ case is characterized by the advection of anomalously high isentropic potential vorticity air southward a strong poleward flux of heat and westerly momentum and the development of a subtropical jet downstream of the disturbance. The SPCZ disturbance is not strongly tilted but is still accompanied by a strong poleward flux of heat and momentum. Evidence for the occurrence of cross-equatorial wave dispersion in the eastern Pacific during northern winter is also presented. These observations are consistent with theory and modeling of Rossby waves in a westerly basic state extending from the midlatitudes into the tropics.",0,Ciencias exactas
Low-Latitude Reflection of Rossby Wave Trains,"nonlinear reflection
absorption-reflection
Numerical experiments
Finite-amplitudes",The nonlinear reflection of an isolated Rossby wave train at a low-latitude wave-breaking region is contrasted with the more familiar longitudinally periodic case. General theoretical arguments for nonlinear reflection based on absorptivity bounds do not carry over to the case of an isolated wave train and detailed investigation is needed to determine the absorption-reflection behavior. Numerical experiments in a single-layer shallow-water model show that wave activity is reflected back into midlatitudes (rather than propagating longitudinally at low latitudes). Finite-amplitudes wave activity diagnostics are used to analyze the nonlinear reflection. Further idealized numerical simulations and simple ideas concerning the propagation of Rossby waves in shear flows are used to give insight into the nonlinear reflection.,0,Ciencias exactas
Forced Rossby wave packets in barotropic shear flows with critical layers,"meridional propagation
monochromatic version
asymptotic
propagating
packet forced",In this paper we investigate the meridional propagation of a forced Rossby wave packet towards a critical layer in a zonal shear flow by solving the linearized barotropic vorticity equation. The forcing is applied north of the critical layer. Two approaches are employed for solving this problem. First an analytic solution valid for large time is derived using Fourier and Laplace transform techniques and asymptotic approximations. This solution exhibits the modification due to the wave packet of the solution obtained by Warn and Warn (1976) [Warn T. Warn H. 1976. On the development of a Rossby wave critical level. J. Atmos. Sci. 33 2021–2024.] in the monochromatic case. A numerical investigation is then carried out using a finite difference scheme and a time-dependent radiation condition. It is found that the forced wave packet is absorbed at the critical layer and the total momentum transferred to the mean flow as a result of the absorption is observed to be proportional to the length scale of the wave packet. We also consider the case of a north–south mean flow with a longitudinally propagating wave packet forced to the east or west of the critical layer. The monochromatic version of this problem has been used before (Geisler J.E. Dickinson R.E. 1975. Critical level absorption of barotropic Rossby waves in a north–south flow. J. Geophys. Res. 80 3805–3811.) to examine the interaction of western boundary currents and oceanic Rossby waves.,0,Ciencias exactas
