Titles,Keywords,Abstract,tipo,tema
Gender differences in mental health,gender differences healthseek ing behaviour mental disorders sex,Effective strategies for mental disorders prevention and its risk factors’ reduction cannot be gender neutral while the risks themselves are gender specifi c. This paper aims to discuss why gender matters in mental health to explain the relationship of gender and health-seeking behaviour as a powerful determinant of gender differences to examine the gender differences in common mental health disorders namely depressive and anxiety disorders eating disorders schizophrenia and domestic violence and fi nally to raise some recommendations stemming from this review.,1,Ciencias Sociales
Placing gender at the centre of health programming: challenges and limitations,health planning equality analysis sensitivity,In this paper we argue that a gender analysis is fundamental to health and health planning. We begin with a definition of gender and related concepts including equity and equality. We discuss why gender is key to understanding all dimensions of health including health care health seeking behaviour and health status and how a gender analysis can contribute to improved health policies and programming. Despite the many reasons for incorporating gender issues in health policies and programmes many obstacles remain including the lack of attention to gender in the training of health professionals and the lack of awareness and sensitivity to gender concerns and disparities in the biomedical community. We argue that the key to placing gender values firmly in place in Health for All renewal is a change in philosophy at all levels of the health sector and suggest ways in which such a change can be implemented in the areas of policy research training and practical programmes and interventions.,0,Ciencias Sociales
Women's status and the health of women and men: a view from the States,study measures status inequality health inequality,We examined the status of women in the 50 American states in relation to women's and men's levels of health. The status of women in each state was assessed by four composite indices measuring women's political participation economic autonomy employment and earnings and reproductive rights. The study design was cross-sectional and ecologic. Our main outcome measures were total female and male mortality rates female cause-specific death rates and mean days of activity limitations reported by women during the previous month. Measures of women's status were strikingly correlated with each of these health outcomes at the state level. Higher political participation by women was correlated with lower female mortality rates (r = -0.51) as well as lower activity limitations (-0.47). A smaller wage gap between women and men was associated with lower female mortality rates (-0.30) and lower activity limitations (-0.31) (all correlations P < 0.05). Indices of women's status were also strongly correlated with male mortality rates suggesting that women's status may reflect more general underlying structural processes associated with material deprivation and income inequality. However the indices of women's status persisted in predicting female mortality and morbidity rates after adjusting for income inequality poverty rates and median household income. Associations were observed for specific causes of death including stroke cervical cancer and homicide. We conclude that women experience higher mortality and morbidity in states where they have lower levels of political participation and economic autonomy. Living in such states has detrimental consequences for the health of men as well. Gender inequality and truncated opportunities for women may be one of the pathways by which the maldistribution of income adversely affects the health of women.,0,Ciencias Sociales
Gender socioeconomic development and health-seeking behaviour in Bangladesh,Adolescent Adult Female Male Middle Aged Patient Acceptance of Health Care / statistics & numerical data* Sex Factors Social Class,In efforts to reduce gender and socioeconomic disparities in the health of populations the provision of medical services alone is clearly inadequate. While socioeconomic development is assumed important in rectifying gender and socioeconomic inequities in health care access service use and ultimately outcomes empirical evidence of its impact is limited. Using cross-sectional data from the BRAC-ICDDRB Joint Research Project in Matlab Bangladesh this paper examines the impact of membership in BRAC's integrated Rural Development Programme (RDP) on gender equity and health-seeking behaviour. Differences in health care seeking are explored by comparing a sample of households who are BRAC members with a sample of BRAC-eligible non-members. Individuals from the BRAC member group report significantly less morbidity (15-day recall) than those from the non-member group although no gender differences in the prevalence of self-reported morbidity are apparent in either group. Sick individuals from BRAC member households tend to seek care less frequently than non-members. When treatment is sought BRAC members rely to a greater extent on home remedies traditional care and unqualified allopaths than non-member households. While reported treatment seeking from qualified allopaths is more prevalent in the BRAC group non-members use the para-professional services of community health care workers almost twice as frequently. In both BRAC member and non-member groups women suffering illness report seeking care significantly less often than men. The policy and programmatic implications of between group and gender differences in care seeking are discussed with reference to the literature.,0,Ciencias Sociales
The relationship of women's postpartum mental health to employment childbirth and social support,mental health conducted examine associated mental problems,Background: This study was conducted to examine changes in women's mental health over the first postpartum year and factors that are associated with mental health. Methods: Participants included women who were married employed English-speaking and giving birth to their first child at one of two hospitals in St Paul Minnesota. Women who were eligible and willing to participate were mailed questionnaires at 1 3 6 9 and 12 months postpartum. Results: There were significant changes in mothers' general mental health depression and anxiety over the first postpartum year (P < or = .01) with least favorable outcomes at 1 month and most favorable outcomes at 12 months postpartum. Poor mental health was related to work factors such as longer work hours and maternity leave of less than 24 weeks and to variables often associated with recent childbirth such as maternal fatigue loss of sleep concerns about appearance and infant illnesses. In addition postpartum symptoms were predicted by physical illness previous mental problems poor general health poor social support fewer recreational activities young age and low income (R2 = 37% to 57%).Conclusions: In this select group of women postpartum mental health was found to be least favorable 1 month after delivery and related to factors associated with employment recent delivery and level of social support.,0,Ciencias Sociales
Gender differences in electroconvulsive therapy: a retrospective chart review,differences study compared gender difference ,"Background: There is a growing interest in gender differences of different psychiatric disorders especially major depression. We sought a possible gender difference related to electroconvulsive therapy (ECT).

Methods: This retrospective study compared 20 male and 23 female depressed adult patients treated by ECT. We compared their findings on gender differences to those of 12 female and 4 male bipolar patients and 11 male and 19 female schizophrenic patients all treated in the same ECT setting.

Results: Depressed female patients underwent significantly fewer antidepressant drug trials than males before being referred to ECT (t41=2.09 P<0.05). A similar gender difference was found in the treatment of patients suffering from schizophrenia: female patients underwent fewer pharmacological antipsychotic trials than males before being referred to ECT (t28=3.11 P<0.01). ECT was significantly more effective in female patients than in male patients suffering from schizophrenia (U=38 P<0.05).
Limitations: This is a retrospective pilot study whose results are based on subjective evaluations. Conclusion: The findings of this study may support a gender difference both in referral and in the outcome of ECT. Clinical relevance: there might be a need to consider lowering the number of pre-ECT drug trials for depressed males and to consider ECT as a viable therapeutic option for schizophrenic females.",0,Ciencias Sociales
Exploring Gender Difference in Depression,studies differendes gender depressive disorders depression,Most studies have found clear gender differences in the prevalence of depressive disorders. Typically studies report that women have a prevalence rate for depression up to twice that of men (Bebbington 1996 Nolen-Hoeksema 1987). For example Kessler et al. (1994) reported that women in the United States are about two-thirds more likely than men to be depressed and a national psychiatric morbidity survey in Britain showed a similar greater risk of depression for women (Meltzer et al. 1995). Gender differences in depression appear to be at their greatest during reproductive years (Bebbington 1996). Recently my colleagues and I set out to explore some of the possible explanations for gender differences in depression (Nazroo et al. 1997 1998). A starting point to our research was Brown and Harris (1978) who showed that episodes of depression were almost always preceded by a major life event a finding that has been confirmed in a number of other studies. Our sample consisted of 97 couples recruited from an inner city area in Britain who had experienced a total of 115 shared crises made up of one or more major life events. The members of each couple were interviewed separately by different interviewers. The interviews covered the nature of the crisis responses to the crisis role behaviors responsibilities and role commitment quality of marriage childhood experiences and psychiatric disorders. The latter were assessed using a shortened version of the Present State Examination which covers a wide range of psychiatric symptoms and allowed the use of clinically validated diagnostic thresholds.,0,Ciencias Sociales
Social determinants of health: the solid facts,health social enviroment social influences,This book covers the lifelong importance to health of determinants such as poverty drugs working conditions unemployment social support good food and transport policy. It provides a discussion of the social gradient in health and an explanation of how psychological and social influences affect physical health and longevity. The focus is on the role that public policy can play in shaping the social environment and on structural issues such as unemployment poverty and the experience of work. Each of the chapters contains a brief summary of what has been established by research followed by some implications for public policy.,0,Ciencias Sociales
Gender differences in depression: the role of personality factors,depression association contrast diferrences gender,The goal of the study was to determine the association between gender and the Big Five personality factors and to identify the role of personality factors in the association between gender and depression among adults in the United States. Data were drawn from the Midlife Development in the United States Survey (N=3032). Multivariate analysis of variance (MANOVA) was used to examine gender differences on the Big Five personality factors (i.e. agreeableness neuroticism openness to experience extraversion and conscientiousness). Multivariate logistic regression analyses were conducted to examine the relation between gender and depression and to test whether this association is moderated by neuroticism. Levels of neuroticism agreeableness extraversion and conscientiousness were significantly higher among females than among males in contrast level of openness to experience was significantly higher among males. Female gender was associated with increased odds of experiencing depression. Results showed that neuroticism played a significant contributory role in the relationship between being female and major depression though the role of gender remained statistically significant after adjustment. These data suggest that gender differences in personality factors specifically neuroticism may play a key role in the well-documented gender difference in depression. Our findings indicate that neuroticism may moderate the association between female gender and increased risk of depression among adults. These findings require replication using longitudinal data.,0,Ciencias Sociales
Adolescent depression: a review,depression psychological medication social determinants,"Objective: To review the characteristic clinical illness course and risk factors to adolescent depression. Method: A literature review is provided with interpretive comments. Results: The clinical feature profile is likely to reflect the rarity of melancholic depression while the non-melancholic ""irritable hostile"" pattern appears distinctly increased. A ""reactive depressive disorder"" is rare in those who get to psychiatric assessment while comorbidity (e.g. anxiety and personality disorders illicit drug use) is the rule. Aetiological determinants and the prognosis generally more relate to comorbid factors than to depression per se. Predisposing and precipitating psychological and social determinants are considered while the efficacies of varying antidepressant strategies remain unclear apart from those with an ""anxious"" or ""irritable"" depression where selective serotonin re-uptake inhibitor medication has shown utility and where cognitive-behavioural therapy may be relevant. Conclusions: For the majority who develop adolescent depression its expression and outcome appear more a reflection of the propagating determinants most commonly anxiety and personality style. The clinician should determine a treatment plan that not only addresses the depression but which identifies and addresses the contributing features.",0,Ciencias Sociales
