Area del Conocimiento,Distancia
Ciencias Exactas,0.13
Ciencias Exactas,0.13
Ciencias Exactas,0.14
Ciencias Exactas,0.11
Ciencias Exactas,0.1
Ciencias Exactas,0.08
Ciencias Exactas,0.08
Ciencias Exactas,0.1
Ciencias Exactas,0.16999999999999998
Ciencias Exactas,0.15000000000000002
Ciencias Exactas,0.12000000000000001
Ciencias Exactas,0.29000000000000004
Ciencias Exactas,0.14
Ciencias Exactas,0.16
Ciencias Exactas,0.08
Ciencias Exactas,0.05
Ciencias Exactas,0.04
Ciencias Exactas,0.05
Ciencias Exactas,0.05
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.02
Ciencias Exactas,0.03
Ciencias Exactas,0.06
Ciencias Exactas,0.05
Ciencias Exactas,0.06
Ciencias Exactas,0.02
Ciencias Exactas,0.02
Ciencias Exactas,0.05
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.02
Ciencias Exactas,0.05
Ciencias Exactas,0.03
Ciencias Exactas,0.04
Ciencias Exactas,0.02
Ciencias Exactas,0.06
Ciencias Exactas,0.01
Ciencias Exactas,0.04
Ciencias Exactas,0.03
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.04
Ciencias Exactas,0.02
Ciencias Exactas,0.18000000000000002
Ciencias Exactas,0.2
Ciencias Exactas,0.22
Ciencias Exactas,0.16
Ciencias Exactas,0.12000000000000001
Ciencias Exactas,0.12
Ciencias Exactas,0.13999999999999999
Ciencias Exactas,0.16
Ciencias Exactas,0.18
Ciencias Exactas,0.19999999999999998
Ciencias Exactas,0.13
Ciencias Exactas,0.22
Ciencias Exactas,0.1
Ciencias Exactas,0.12
Ciencias Exactas,0.06
Ciencias Exactas,0.060000000000000005
Ciencias Exactas,0.04
Ciencias Exactas,0.13
Ciencias Exactas,0.05
Ciencias Exactas,0.06
Ciencias Exactas,0.06999999999999999
Ciencias Exactas,0.06
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.1
Ciencias Exactas,0.04
Ciencias Exactas,0.08
Ciencias Exactas,0.05
Ciencias Exactas,0.04
Ciencias Exactas,0.07
Ciencias Exactas,0.08
Ciencias Exactas,0.04
Ciencias Exactas,0.05
Ciencias Exactas,0.06
Ciencias Exactas,0.05
Ciencias Exactas,0.02
Ciencias Exactas,0.08
Ciencias Exactas,0.03
Ciencias Exactas,0.06
Ciencias Exactas,0.0
Ciencias Exactas,0.06
Ciencias Exactas,0.05
Ciencias Exactas,0.06
Ciencias Exactas,0.03
Ciencias Exactas,0.06
Ciencias Exactas,0.05
Ciencias Exactas,0.1
Ciencias Exactas,0.16
Ciencias Exactas,0.1
Ciencias Exactas,0.06
Ciencias Exactas,0.09
Ciencias Exactas,0.18
Ciencias Exactas,0.25
Ciencias Exactas,0.12
Ciencias Exactas,0.1
Ciencias Exactas,0.09999999999999999
Ciencias Exactas,0.12
Ciencias Exactas,0.14
Ciencias Exactas,0.08
Ciencias Exactas,0.05
Ciencias Exactas,0.06
Ciencias Exactas,0.06
Ciencias Exactas,0.09
Ciencias Exactas,0.06
Ciencias Exactas,0.06
Ciencias Exactas,0.06
Ciencias Exactas,0.06
Ciencias Exactas,0.06
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.05
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.06
Ciencias Exactas,0.06
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.03
Ciencias Exactas,0.06
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.02
Ciencias Exactas,0.05
Ciencias Exactas,0.05
Ciencias Exactas,0.08
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.05
Ciencias Exactas,0.35
Ciencias Exactas,0.2
Ciencias Exactas,0.16
Ciencias Exactas,0.15
Ciencias Exactas,0.16
Ciencias Exactas,0.15000000000000002
Ciencias Exactas,0.16999999999999998
Ciencias Exactas,0.22
Ciencias Exactas,0.1
Ciencias Exactas,0.27999999999999997
Ciencias Exactas,0.12000000000000001
Ciencias Exactas,0.12
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.07
Ciencias Exactas,0.06
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.05
Ciencias Exactas,0.06
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.07
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.04
Ciencias Exactas,0.06
Ciencias Exactas,0.02
Ciencias Exactas,0.08
Ciencias Exactas,0.03
Ciencias Exactas,0.06
Ciencias Exactas,0.02
Ciencias Exactas,0.04
Ciencias Exactas,0.02
Ciencias Exactas,0.06
Ciencias Exactas,0.04
